siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,longitude,latitude,geo_score,geo_type,geo_adresse,geo_id,geo_ligne,geo_l4,geo_l5
005520135,00038,00552013500038,O,2007-04-20,,,,2019-11-14T14:00:12,true,2,,70,,RUE,DE LAUSANNE,01220,DIVONNE-LES-BAINS,,,01143,,,,,,,,,,,,,,,,,,,2007-11-19,F,,,,,17.1P,NAFRev1,N,6.143376,46.357963,0.96,housenumber,70 Rue de Lausanne 01220 Divonne-les-Bains,01143_0490_00070,G,70 RUE DE LAUSANNE,
015550189,00094,01555018900094,O,1993-03-17,,,,,false,2,,,,LD,CHAMPAGNE,01540,VONNAS,,,01457,,,,,,,,,,,,,,,,,,,1993-12-25,F,,,,,45.2P,NAF1993,N,4.99279,46.219693,0.56,street,Impasse du Champ de Tir 01540 Vonnas,01457_0009,G,IMPASSE DU CHAMP DE TIR,
015550262,00057,01555026200057,O,,NN,,,2019-11-14T14:00:12,true,1,,187,,AV,DE GENEVE,01220,DIVONNE-LES-BAINS,,,01143,,,,,,,,,,,,,,,,,,,2000-12-31,F,,,,,74.1J,NAF1993,N,6.139474,46.354058,0.85,housenumber,187 Avenue de Genève 01220 Divonne-les-Bains,01143_0440_00187,G,187 AVENUE DE GENEVE,
015550882,00128,01555088200128,O,1986-10-27,,,,2019-11-14T14:00:12,false,4,,13,,RUE,DES CRETS,01000,BOURG-EN-BRESSE,,,01053,,,,,,,,,,,,,,,,,,,1993-12-25,F,,,,,50.3A,NAF1993,N,5.22555,46.216035,0.97,housenumber,13 Rue des Crets 01000 Bourg-en-Bresse,01053_1020_00013,G,13 RUE DES CRETS,
015850944,00024,01585094400024,O,2007-04-01,11,2019,,2021-10-27T08:00:37,false,2,ZONE INDUSTRIELLE,,,CHE,DE THIL,01700,SAINT-MAURICE-DE-BEYNOST,,,01376,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,25.73B,NAFRev2,O,4.986337,45.825879,0.85,street,Chemin de Thil 01700 Saint-Maurice-de-Beynost,01376_0418,G,CHEMIN DE THIL,
015851793,00479,01585179300479,O,2005-01-01,11,2019,,2021-10-27T08:00:37,false,2,,,,,ZONE INDUST LA FONTAINE,01290,CROTTET,,,01134,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,46.73A,NAFRev2,O,4.903151,46.281505,0.94,locality,Zone Indust la Fontaine 01290 Crottet,01134_0014,G,ZONE INDUST LA FONTAINE,
015851793,00743,01585179300743,O,2012-09-01,02,2019,,2021-10-27T08:00:37,false,1,ZA ACTIPARC,,,,PRE LION,01190,BOZ,,,01057,,,,,,,,,,,,,,,,,,,2012-09-01,A,,,,DORAS,46.73A,NAFRev2,O,4.912907,46.407488,0.32,street,Route de la Grande Charrière 01190 Boz,01057_0085,G,ROUTE DE LA GRANDE CHARRIERE,
015851793,00917,01585179300917,O,2020-01-01,,,,2020-01-31T16:13:25,false,1,,28,,AV,DE MARBOZ,01000,BOURG-EN-BRESSE,,,01053,,,,,,,,,,,,,,,,,,,2020-01-01,A,CLEAU,,,,46.73A,NAFRev2,O,5.228366,46.22076,0.85,housenumber,28 Avenue de Marboz 01000 Bourg-en-Bresse,01053_2480_00028,G,28 AVENUE DE MARBOZ,
016241499,00033,01624149900033,O,,,,,2019-11-14T14:00:12,true,1,,7,,AV,DE LA VICTOIRE,01000,BOURG-EN-BRESSE,,,01053,,,,,,,,,,,,,,,,,,,1992-04-01,F,,,,,52.1B,NAF1993,N,5.21827,46.202527,0.87,housenumber,7 Avenue de la Victoire 01000 Bourg-en-Bresse,01053_3705_00007,G,7 AVENUE DE LA VICTOIRE,
016250029,00697,01625002900697,O,1983-03-14,21,2019,,2021-10-27T08:00:37,false,3,DISTRICT DAGNEUX,,,,,01360,BALAN,,,01027,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,52.21Z,NAFRev2,O,,,0,,,,,,
